Country,iso3,Year,SPAR_Overall,C.1.1.1,C.1,C.2.1.1,C.2.1.2,C.2,C.3.1.1,C.3.2.1,C.3,C.4.1.1,C.4.2.1,C.4,C.5.1.1,C.5.2.1,C.5,C.6.1.1,C.6,C.7.1.1,C.7,C.8.1.1,C.8.2.1,C.8,C.9.1.1,C.9.2.1,C.9.3.1,C.9,C.10.1.1,C.10,C.11.1.1,C.11,C.12.1.1,C.12,C.13.1.1,C.13,C.1.1,C.1.2,C.1.3,C.2.1,C.2.2,C.3.1,C.4.1,C.5.1,C.5.2,C.5.3,C.6.1,C.6.2,C.7.1,C.8.1,C.8.2,C.8.3,C.9.1,C.9.2,C.9.3,C.10.1,C.11.1,C.11.2,C.12.1,C.13.1,C.2.3,C.3.2,C.4.2,C.4.3,C.4.4,C.4.5,C.7.2,C.7.3,C.10.2,C.10.3,C.11.3,C.14.1,C.14,C.15.1,C.15
Honduras,HND,2015,74.0,100.0,100.0,100.0,60.0,80.0,100.0,90.0,95.0,89.0,62.0,76.0,100.0,0.0,50.0,57.0,57.0,60.0,60.0,83.0,80.0,82.0,73.0,100.0,67.0,80.0,100.0,100.0,87.0,87.0,38.0,38.0,62.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,MEX,2015,96.0,100.0,100.0,100.0,40.0,70.0,100.0,90.0,95.0,89.0,100.0,94.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,83.0,94.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,NIC,2015,76.0,100.0,100.0,67.0,100.0,83.0,100.0,100.0,100.0,100.0,75.0,88.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.0,80.0,86.0,91.0,25.0,100.0,72.0,100.0,100.0,60.0,60.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,PAN,2015,70.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,95.0,89.0,88.0,88.0,100.0,20.0,60.0,71.0,71.0,40.0,40.0,92.0,100.0,96.0,82.0,75.0,33.0,63.0,89.0,89.0,60.0,60.0,15.0,15.0,31.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,PRY,2015,82.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,95.0,89.0,100.0,94.0,67.0,20.0,43.0,100.0,100.0,80.0,80.0,92.0,60.0,76.0,100.0,75.0,83.0,86.0,89.0,89.0,47.0,47.0,69.0,69.0,92.0,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,PER,2015,89.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.0,94.0,100.0,80.0,90.0,100.0,100.0,80.0,80.0,100.0,100.0,100.0,73.0,0.0,0.0,24.0,100.0,100.0,100.0,100.0,69.0,69.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,URY,2015,83.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,95.0,89.0,100.0,94.0,100.0,80.0,90.0,100.0,100.0,20.0,20.0,92.0,20.0,56.0,91.0,100.0,83.0,91.0,100.0,100.0,100.0,100.0,69.0,69.0,62.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,VEN,2015,90.0,100.0,100.0,100.0,80.0,90.0,100.0,90.0,95.0,100.0,100.0,100.0,100.0,100.0,100.0,86.0,86.0,100.0,100.0,100.0,80.0,90.0,82.0,0.0,0.0,27.0,100.0,100.0,93.0,93.0,100.0,100.0,85.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,2016,76.0,50.0,50.0,33.0,100.0,67.0,80.0,80.0,80.0,56.0,100.0,78.0,83.0,80.0,82.0,86.0,86.0,40.0,40.0,92.0,80.0,86.0,91.0,75.0,100.0,89.0,89.0,89.0,93.0,93.0,69.0,69.0,77.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,2016,77.0,100.0,100.0,100.0,80.0,90.0,100.0,80.0,90.0,89.0,75.0,82.0,67.0,80.0,73.0,57.0,57.0,80.0,80.0,92.0,100.0,96.0,73.0,0.0,0.0,24.0,100.0,100.0,87.0,87.0,23.0,23.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,BRA,2016,97.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.0,100.0,96.0,100.0,100.0,0.0,67.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,2016,79.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,90.0,78.0,100.0,89.0,83.0,0.0,42.0,71.0,71.0,60.0,60.0,92.0,40.0,66.0,73.0,100.0,100.0,91.0,100.0,100.0,100.0,100.0,46.0,46.0,77.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,COL,2016,89.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,95.0,100.0,75.0,88.0,100.0,100.0,100.0,100.0,100.0,60.0,60.0,100.0,60.0,80.0,91.0,100.0,100.0,97.0,89.0,89.0,87.0,87.0,85.0,85.0,77.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRI,2016,86.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,83.0,60.0,72.0,100.0,100.0,80.0,80.0,100.0,80.0,90.0,91.0,100.0,100.0,97.0,100.0,100.0,100.0,100.0,38.0,38.0,46.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,2016,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.0,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,DOM,2016,71.0,75.0,75.0,100.0,80.0,90.0,100.0,50.0,75.0,78.0,38.0,58.0,83.0,80.0,82.0,71.0,71.0,40.0,40.0,100.0,60.0,80.0,91.0,75.0,100.0,89.0,100.0,100.0,47.0,47.0,38.0,38.0,77.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,ECU,2016,81.0,100.0,100.0,100.0,80.0,90.0,100.0,80.0,90.0,100.0,88.0,94.0,100.0,80.0,90.0,86.0,86.0,20.0,20.0,67.0,100.0,83.0,91.0,100.0,67.0,86.0,100.0,100.0,80.0,80.0,31.0,31.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Salvador,SLV,2016,94.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,95.0,89.0,100.0,94.0,100.0,80.0,90.0,71.0,71.0,100.0,100.0,100.0,100.0,100.0,91.0,100.0,100.0,97.0,100.0,100.0,100.0,100.0,92.0,92.0,85.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,2016,55.0,50.0,50.0,67.0,40.0,53.0,60.0,50.0,55.0,67.0,88.0,77.0,50.0,20.0,35.0,43.0,43.0,80.0,80.0,58.0,0.0,29.0,45.0,25.0,17.0,29.0,100.0,100.0,60.0,60.0,54.0,54.0,54.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,HTI,2016,56.0,0.0,,33.0,60.0,47.0,100.0,70.0,85.0,78.0,50.0,64.0,67.0,80.0,73.0,71.0,71.0,40.0,40.0,100.0,60.0,80.0,27.0,0.0,0.0,9.0,100.0,100.0,40.0,40.0,69.0,69.0,54.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,HND,2016,83.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,95.0,100.0,100.0,100.0,100.0,40.0,70.0,71.0,71.0,60.0,60.0,100.0,60.0,80.0,100.0,100.0,83.0,94.0,89.0,89.0,93.0,93.0,46.0,46.0,77.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,MEX,2016,97.0,100.0,100.0,100.0,40.0,70.0,100.0,90.0,95.0,89.0,100.0,94.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,NIC,2016,88.0,75.0,75.0,67.0,100.0,83.0,100.0,100.0,100.0,100.0,75.0,88.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.0,80.0,86.0,82.0,50.0,0.0,44.0,100.0,100.0,80.0,80.0,92.0,92.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,PAN,2016,71.0,75.0,75.0,100.0,100.0,100.0,100.0,100.0,100.0,89.0,88.0,88.0,100.0,20.0,60.0,71.0,71.0,40.0,40.0,92.0,80.0,86.0,82.0,100.0,0.0,61.0,100.0,100.0,60.0,60.0,15.0,15.0,62.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,PRY,2016,79.0,100.0,100.0,100.0,100.0,100.0,100.0,70.0,85.0,78.0,100.0,89.0,67.0,20.0,43.0,100.0,100.0,60.0,60.0,92.0,60.0,76.0,100.0,100.0,100.0,100.0,89.0,89.0,67.0,67.0,38.0,38.0,77.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,PER,2016,70.0,25.0,25.0,100.0,60.0,80.0,100.0,80.0,90.0,56.0,100.0,78.0,83.0,40.0,62.0,57.0,57.0,100.0,100.0,100.0,80.0,90.0,82.0,0.0,0.0,27.0,100.0,100.0,67.0,67.0,31.0,31.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,URY,2016,82.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,95.0,78.0,100.0,89.0,100.0,80.0,90.0,71.0,71.0,40.0,40.0,100.0,20.0,60.0,91.0,100.0,83.0,91.0,100.0,100.0,100.0,100.0,69.0,69.0,62.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,VEN,2016,94.0,100.0,100.0,100.0,80.0,90.0,100.0,90.0,95.0,100.0,100.0,100.0,100.0,100.0,100.0,86.0,86.0,100.0,100.0,100.0,80.0,90.0,82.0,100.0,100.0,94.0,100.0,100.0,87.0,87.0,100.0,100.0,85.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,2017,70.0,50.0,50.0,33.0,80.0,57.0,40.0,100.0,70.0,22.0,75.0,49.0,50.0,60.0,55.0,57.0,57.0,40.0,40.0,92.0,100.0,96.0,91.0,100.0,100.0,97.0,78.0,78.0,93.0,93.0,85.0,85.0,85.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,2017,76.0,100.0,100.0,67.0,60.0,63.0,100.0,100.0,100.0,100.0,62.0,81.0,100.0,60.0,80.0,43.0,43.0,40.0,40.0,100.0,80.0,90.0,64.0,100.0,100.0,88.0,100.0,100.0,100.0,100.0,15.0,15.0,92.0,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,BRA,2017,96.0,100.0,100.0,100.0,80.0,90.0,80.0,100.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,83.0,100.0,92.0,91.0,100.0,100.0,97.0,89.0,89.0,100.0,100.0,92.0,92.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,2017,84.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,90.0,100.0,100.0,100.0,100.0,80.0,90.0,71.0,71.0,60.0,60.0,100.0,40.0,70.0,82.0,100.0,67.0,83.0,100.0,100.0,100.0,100.0,54.0,54.0,69.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,COL,2017,88.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,95.0,100.0,62.0,81.0,100.0,100.0,100.0,100.0,100.0,60.0,60.0,100.0,60.0,80.0,100.0,75.0,100.0,92.0,89.0,89.0,80.0,80.0,85.0,85.0,85.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRI,2017,87.0,75.0,75.0,100.0,100.0,100.0,100.0,90.0,95.0,67.0,100.0,83.0,83.0,80.0,82.0,100.0,100.0,80.0,80.0,92.0,60.0,76.0,82.0,100.0,83.0,88.0,100.0,100.0,100.0,100.0,77.0,77.0,77.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,2017,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,73.0,100.0,83.0,85.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
