Country Name,Country Code,Series Name,Series Code,2024 [YR2024],2023 [YR2023],2022 [YR2022],2021 [YR2021],2020 [YR2020],2019 [YR2019],2018 [YR2018],2017 [YR2017]
Ecuador,ECU,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-0.775680199999999,-0.719996,-0.655353,-0.6326965,-0.5183859,-0.5273627,-0.618424299999999,-0.775722799999999
Ecuador,ECU,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-0.2196127,-0.162533899999999,0.00162489999999999,-0.1107469,-0.343507499999999,-0.195296299999999,-0.213034,-0.142592499999999
Ecuador,ECU,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-0.9650369,-0.858649799999999,-0.5794902,-0.4314709,-0.5676359,-0.6485634,-0.7671005,-0.8823998
Ecuador,ECU,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.7210909,-0.3543579,-0.2336288,-0.1983083,-0.1513823,-0.209832,-0.0672488,-0.1273984
El Salvador,SLV,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-0.5765882,-0.6099566,-0.680151,-0.5616664,-0.5107438,-0.5208324,-0.579658,-0.5282498
El Salvador,SLV,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-0.1831795,-0.0947816,-0.387094,-0.2484854,-0.1427333,-0.3446971,-0.3651057,-0.3512048
El Salvador,SLV,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-0.7133592,-0.707075599999999,-0.9646984,-0.83512,-0.6910565,-0.7489712,-0.831723099999999,-0.8610369
El Salvador,SLV,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.00613259999999999,0.0822243,-0.0998814,-0.222007099999999,-0.1497936,-0.2138062,-0.420064599999999,-0.3360373
Guatemala,GTM,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-0.9482653,-1.0869128,-1.2166625,-1.21790929999999,-1.0998808,-1.0038569,-0.972041399999999,-0.8839206
Guatemala,GTM,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-0.9093696,-0.8628806,-0.8842065,-0.7444335,-0.7764521,-0.777929099999999,-0.7651424,-0.6982041
Guatemala,GTM,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-0.962274,-1.0108162,-1.0371304,-0.975567699999999,-0.9659236,-1.0056597,-0.9808528,-0.9510672
Guatemala,GTM,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.209766899999999,-0.2021326,-0.3005447,-0.5740791,-0.563868399999999,-0.6944184,-0.6836211,-0.700759599999999
Haiti,HTI,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-1.5403494,-1.50126609999999,-1.508626,-1.4853353,-1.44666959999999,-1.46242959999999,-1.4376012,-1.4223857
Haiti,HTI,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-2.0156868,-2.0108367,-2.0132007,-2.0602282,-1.9163196,-1.8885565,-1.7517146,-1.8904667
Haiti,HTI,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-1.6033955,-1.64152989999999,-1.5628925,-1.392161,-1.211177,-1.1812778,-1.1714715,-1.2058005
Haiti,HTI,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-1.2013046,-0.971741099999999,-0.947002399999999,-1.2132391,-1.0389171,-0.9509746,-0.7667849,-0.834199999999999
Honduras,HND,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-1.2446903,-1.09932339999999,-1.03140529999999,-1.1204199,-0.972603599999999,-1.0582406,-0.969578899999999,-0.946983999999999
Honduras,HND,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-0.6196728,-0.6579014,-0.686258199999999,-0.6672516,-0.582503099999999,-0.5125275,-0.5271479,-0.4193229
Honduras,HND,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-1.1768036,-1.156469,-1.09175279999999,-1.1417518,-1.1109938,-1.0765301,-1.09364329999999,-1.0906729
Honduras,HND,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.5671583,-0.3507671,-0.4781621,-0.806377,-0.666353099999999,-0.827137599999999,-0.864353599999999,-0.9065696
Mexico,MEX,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-0.9408772,-0.9321625,-0.8757541,-0.8733867,-0.853792,-0.8896518,-0.9427494,-0.9481326
Mexico,MEX,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-0.2199329,-0.0748651999999999,-0.0874176,-0.0457428999999999,-0.0462657999999999,-0.00866849999999999,-0.0269292,0.0099863
Mexico,MEX,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-1.15386449999999,-1.0777054,-1.0822517,-1.0248188,-0.986665199999999,-0.8760117,-0.8062687,-0.7300047
Mexico,MEX,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.7154541,-0.5984727,-0.5890439,-0.736204699999999,-0.7772933,-0.8974274,-0.927316799999999,-1.0455954
Nicaragua,NIC,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-1.4326926,-1.25988029999999,-1.2447097,-1.237514,-1.1373893,-1.2048569,-1.2181897,-1.0961543
Nicaragua,NIC,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-1.0529768,-0.936770799999999,-0.9210621,-0.7550562,-0.7981834,-0.7436807,-0.7706904,-0.497707499999999
Nicaragua,NIC,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-1.6197013,-1.5960126,-1.49475349999999,-1.474372,-1.3373983,-1.33341589999999,-1.3054508,-0.9134992
Nicaragua,NIC,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.0694255,-0.0652355999999999,-0.168460299999999,-0.4075357,-0.5232726,-0.944804499999999,-1.1119701,-0.181501599999999
Panama,PAN,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-0.5541186,-0.566951499999999,-0.562926599999999,-0.5235702,-0.5190072,-0.543706599999999,-0.5480745,-0.558947899999999
Panama,PAN,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,0.2451472,0.0311824,0.0399223,0.2101815,0.2314559,0.4971964,0.3258151,0.343385
Panama,PAN,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-0.2634275,-0.227944099999999,-0.214656799999999,-0.230409999999999,-0.2397538,-0.2786019,-0.2517367,-0.159659599999999
Panama,PAN,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.264681,0.3693808,0.428471,0.3538332,0.3368353,0.399288,0.364313,0.457992
Paraguay,PRY,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-1.0248859,-1.0149203,-0.953862099999999,-0.905500299999999,-0.8101421,-0.8760395,-0.8709501,-0.8291544
Paraguay,PRY,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-0.3545101,-0.337846,-0.495784199999999,-0.5769998,-0.6074736,-0.4663941,-0.4995478,-0.6426736
Paraguay,PRY,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-0.5835849,-0.580114999999999,-0.540378799999999,-0.5280024,-0.3727181,-0.4294945,-0.454061699999999,-0.4932562
Paraguay,PRY,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.0738359,0.00238379999999999,-0.0659073999999999,-0.0550381999999999,0.0082817,0.0355269,-0.0337829,-0.0283019999999999
Peru,PER,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-0.7203896,-0.6654876,-0.641561199999999,-0.509709,-0.4980887,-0.490189,-0.5877892,-0.593187599999999
Peru,PER,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-0.2004128,-0.197054099999999,-0.0885376,-0.0563454,-0.106299499999999,0.0476235,-0.160816899999999,-0.0734623
Peru,PER,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-0.5057749,-0.4787644,-0.487251699999999,-0.5208197,-0.4320888,-0.456438399999999,-0.4609214,-0.374605199999999
