Country,iso3,Year,SPAR_Overall,C.1.1.1,C.1,C.2.1.1,C.2.1.2,C.2,C.3.1.1,C.3.2.1,C.3,C.4.1.1,C.4.2.1,C.4,C.5.1.1,C.5.2.1,C.5,C.6.1.1,C.6,C.7.1.1,C.7,C.8.1.1,C.8.2.1,C.8,C.9.1.1,C.9.2.1,C.9.3.1,C.9,C.10.1.1,C.10,C.11.1.1,C.11,C.12.1.1,C.12,C.13.1.1,C.13,C.1.1,C.1.2,C.1.3,C.2.1,C.2.2,C.3.1,C.4.1,C.5.1,C.5.2,C.5.3,C.6.1,C.6.2,C.7.1,C.8.1,C.8.2,C.8.3,C.9.1,C.9.2,C.9.3,C.10.1,C.11.1,C.11.2,C.12.1,C.13.1,C.2.3,C.3.2,C.4.2,C.4.3,C.4.4,C.4.5,C.7.2,C.7.3,C.10.2,C.10.3,C.11.3,C.14.1,C.14,C.15.1,C.15
GIN,GIN,2015,51.0,100.0,100.0,67.0,80.0,73.0,100.0,80.0,90.0,78.0,50.0,64.0,67.0,60.0,63.0,43.0,43.0,80.0,80.0,92.0,80.0,86.0,64.0,0.0,0.0,21.0,22.0,22.0,27.0,27.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNB,GNB,2015,48.0,100.0,100.0,33.0,80.0,57.0,100.0,90.0,95.0,100.0,75.0,88.0,67.0,20.0,43.0,71.0,71.0,40.0,40.0,75.0,20.0,48.0,27.0,0.0,0.0,9.0,67.0,67.0,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEN,KEN,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSO,LSO,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBR,LBR,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBY,LBY,2015,64.0,67.0,67.0,67.0,100.0,83.0,20.0,70.0,45.0,78.0,88.0,83.0,100.0,20.0,60.0,43.0,43.0,60.0,60.0,92.0,40.0,66.0,55.0,50.0,83.0,63.0,78.0,78.0,93.0,93.0,15.0,15.0,77.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDG,MDG,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWI,MWI,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLI,MLI,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRT,MRT,2015,28.0,0.0,,0.0,40.0,20.0,80.0,10.0,45.0,33.0,0.0,17.0,33.0,0.0,17.0,0.0,,0.0,,42.0,20.0,31.0,9.0,0.0,0.0,3.0,100.0,100.0,20.0,20.0,46.0,46.0,69.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUS,MUS,2015,67.0,67.0,67.0,67.0,100.0,83.0,60.0,30.0,45.0,78.0,100.0,89.0,83.0,20.0,52.0,57.0,57.0,40.0,40.0,92.0,20.0,56.0,82.0,100.0,83.0,88.0,100.0,100.0,73.0,73.0,62.0,62.0,62.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAR,MAR,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
